# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG,   TN,   TX
# 
  240,20170611,  197,  129,  269
  240,20170612,  163,  145,  191
  240,20170613,  162,  114,  201
  240,20170614,  181,  102,  238
  240,20170615,  198,  147,  256
  240,20170616,  161,  133,  184
  240,20170617,  186,  149,  229
  240,20170618,  214,  124,  274
  240,20170619,  242,  168,  298
  240,20170620,  211,  158,  252
  240,20170621,  207,  139,  264
  240,20170622,  216,  165,  284
  240,20170623,  186,  163,  214
  240,20170624,  181,  164,  201
  240,20170625,  173,  158,  196
  240,20170626,  161,  120,  195
  240,20170627,  175,  114,  225
  240,20170628,  179,  145,  225
  240,20170629,  171,  137,  209
  240,20170630,  164,  121,  196
  240,20170701,  163,  131,  204
  240,20170702,  158,  106,  195
  240,20170703,  172,  105,  222
  240,20170704,  182,  135,  228
  240,20170705,  190,  132,  239
  240,20170706,  204,  133,  268
  240,20170707,  198,  164,  248
  240,20170708,  181,  115,  230
  240,20170709,  178,   99,  229
  240,20170710,  192,  154,  250
  240,20170711,  182,  153,  211
  240,20170712,  155,  122,  192
  260,20170101,    5,   -8,   19
  260,20170102,   30,   -3,   68
  260,20170103,   50,   15,   71
  260,20170104,   58,   26,   73
  260,20170105,    0,  -59,   33
  260,20170106,  -30,  -65,   -3
  260,20170107,   -2,  -21,   34
  260,20170108,   43,   28,   61
  260,20170109,   48,   33,   59
  260,20170110,   53,   29,   66
  260,20170111,   72,   57,  104
  260,20170112,   52,    2,   74
  260,20170113,   31,    2,   56
  260,20170114,   18,    1,   48
  260,20170115,    7,  -18,   48
  260,20170116,  -16,  -44,   12
  260,20170117,  -34,  -50,   13
  260,20170118,  -38,  -53,  -19
  260,20170119,  -20,  -56,   35
  260,20170120,   -3,  -52,   51
  260,20170121,   -2,  -52,   50
  260,20170122,  -17,  -74,   37
  260,20170123,   16,   -3,   31
  260,20170124,    8,    0,   21
  260,20170125,  -11,  -43,    6
  260,20170126,  -28,  -53,    6
  260,20170127,    8,  -70,   51
  260,20170128,   54,   20,   81
  260,20170129,   47,   31,   65
  260,20170130,   49,   28,   72
  260,20170131,   37,   26,   61
  260,20170201,   34,    5,   54
  260,20170202,   86,   52,  125
  260,20170203,   86,   63,  119
  260,20170204,   57,   26,   74
  260,20170205,   44,  -11,   77
  260,20170206,   43,  -10,   66
  260,20170207,   24,    9,   39
  260,20170208,    0,  -11,    9
  260,20170209,  -16,  -30,  -10
  260,20170210,  -23,  -45,  -13
  260,20170211,   -4,  -17,   10
  260,20170212,    7,   -6,   25
  260,20170213,   22,  -14,   71
  260,20170214,   38,   -5,   94
  260,20170215,   74,    3,  135
  260,20170216,   68,   55,   99
  260,20170217,   70,   52,   86
  260,20170218,   56,   32,  103
  260,20170219,   62,   32,   92
  260,20170220,   91,   72,  109
  260,20170221,   96,   86,  111
  260,20170222,   95,   78,  108
  260,20170223,   80,   42,  105
  260,20170224,   45,   -6,   87
  260,20170225,   58,   18,   89
  260,20170226,   87,   67,  106
  260,20170227,   87,   43,  106
  260,20170228,   47,   32,   65
  260,20170301,   63,   32,   94
  260,20170302,   66,   42,   82
  260,20170303,   59,   12,   88
